First Name,Gender,Start Date,Last Login Time,Salary,Bonus %,Team
,Female,2/23/2005,9:50 PM,149654,1.825,Sales
Roger,Male,11/19/2004,3:55 PM,51430,6.46,Marketing
Charles,Male,10/14/2000,9:40 PM,71749,15.931,Legal
Clarence,Male,5/2/1998,3:16 AM,85700,1.215,Sales
Carol,Female,3/19/1996,3:39 AM,57783,9.129,Finance
Lois,Female,10/18/2013,4:51 PM,36946,6.652,Engineering
Barbara,,5/3/2003,7:32 PM,99326,16.475,Legal
Rebecca,Female,2/18/1995,6:50 AM,109259,4.443,Legal
Irene,Female,1/30/2004,8:25 PM,131038,8.996,Distribution
Ronald,Male,4/30/2014,2:19 PM,121068,12.757,Product
Steven,Male,11/10/1985,10:53 AM,62719,19.127,Client Services
Carolyn,Female,11/6/2012,3:51 AM,69268,3.031,Client Services
Maria,Female,12/27/1990,9:57 PM,36067,9.64,Product
Jonathan,Male,7/17/2009,8:15 AM,130581,16.736,
Gary,Male,8/12/1987,12:04 AM,89661,8.525,Finance
Kimberly,Female,7/15/1997,5:57 AM,36643,7.953,Marketing
Roger,Male,11/8/1982,2:32 AM,140558,5.084,Sales
Diana,Female,1/4/2013,7:53 AM,103521,2.784,Business Development
Willie,Male,6/6/2006,9:45 AM,55281,4.935,Marketing
Brandon,Male,3/27/2006,5:54 PM,115711,8.012,Finance
Patricia,Female,12/6/2012,4:01 AM,114079,8.399,Client Services
Katherine,Female,11/14/1999,8:15 AM,57531,1.767,Client Services
Jonathan,Male,10/12/1987,2:59 AM,141069,4.903,Human Resources
Emily,Female,9/20/2007,11:25 AM,89434,11.295,Engineering
Ruth,Female,8/12/1986,7:29 PM,44639,9.148,Legal
Linda,Female,6/24/2006,12:04 PM,110967,19.612,Human Resources
Lisa,Female,11/2/2009,9:42 AM,115387,1.821,Client Services
Evelyn,Female,5/24/1980,11:10 PM,81673,15.364,Engineering
Julie,Female,7/23/1989,1:52 PM,109588,3.55,Engineering
Mary,Female,5/30/2009,11:41 PM,92544,3.8,Client Services
Matthew,Male,7/31/2013,8:04 AM,142373,2.462,Marketing
Douglas,Male,9/3/1999,4:00 PM,83341,1.015,Client Services
Gregory,,6/15/1992,5:08 AM,98865,10.628,Finance
Billy,Male,3/13/1995,12:05 PM,120444,7.768,Finance
,Female,6/17/1991,12:49 PM,71945,5.56,Marketing
Gregory,Male,1/29/2000,6:01 AM,109564,3.845,Legal
Jason,Male,10/17/1999,10:09 PM,78417,3.067,Finance
Daniel,Male,4/30/2010,3:48 AM,106947,15.866,Legal
Sarah,Female,9/14/1995,7:50 AM,87298,2.311,Distribution
Harry,Male,10/1/2015,7:47 PM,64579,15.266,Sales
Kathy,Female,4/19/1995,12:46 AM,50905,9.404,Finance
Todd,Male,4/13/1999,10:31 AM,59728,11.226,Client Services
Bobby,Male,9/23/1994,1:29 AM,51685,17.445,Engineering
Jeremy,Male,6/8/2000,12:15 AM,49542,1.679,Distribution
George,,2/24/1988,11:29 AM,38375,8.999,Legal
Diane,Female,4/18/1993,3:22 AM,64084,17.018,Product
Marilyn,Female,4/4/1997,9:28 PM,147663,10.263,Human Resources
Kathryn,Female,2/4/2004,1:47 PM,73935,14.752,Sales
Irene,Female,2/4/1982,5:26 PM,40837,12.182,Client Services
Norma,Female,2/11/2015,11:44 PM,94393,3.643,Engineering
Laura,Female,4/2/2006,1:57 PM,42087,2.624,Product
Cheryl,Female,9/23/2008,2:57 AM,52080,9.375,Legal
Kevin,Male,3/25/1982,7:31 AM,35061,5.128,Legal
Lillian,,5/12/2016,3:43 PM,64164,17.612,Human Resources
Phyllis,,4/21/1984,7:05 PM,94088,19.107,Distribution
Walter,Male,7/6/1983,11:54 PM,127813,5.961,Finance
Robert,Male,10/27/1990,7:15 PM,38041,18.428,Engineering
Jimmy,Male,10/7/1986,5:53 PM,126310,5.413,Product
Clarence,Male,10/8/1996,12:53 PM,142561,8.866,Client Services
Victor,Male,4/11/1991,7:44 AM,70817,17.138,Engineering
Fred,,12/2/1984,2:03 PM,59937,12.045,Human Resources
Brenda,,7/27/2010,11:07 PM,106115,3.742,Product
Justin,Male,12/6/1992,5:58 PM,82782,4.366,Distribution
Betty,Female,6/12/2002,3:59 AM,104896,19.55,Business Development
Randy,,2/6/1986,3:04 PM,133943,8.94,Sales
Sharon,,3/1/1990,3:46 AM,83658,6.513,Business Development
Ralph,Male,11/11/2004,1:35 AM,71896,4.232,Marketing
,,4/28/2003,3:01 AM,113732,10.391,Sales
Edward,Male,5/27/1985,10:13 PM,110485,7.995,Client Services
Denise,Female,3/20/2009,7:57 AM,115118,5.108,Human Resources
Debra,Female,3/13/1998,11:16 PM,48696,4.75,Legal
,Male,11/25/1999,6:16 AM,42676,15.517,Sales
Michael,Male,1/24/2002,3:04 AM,43586,12.659,
Henry,Male,2/6/1995,8:34 AM,89258,15.585,Human Resources
Gloria,Female,3/27/2007,1:44 AM,90730,2.491,Distribution
Marie,Female,8/6/1995,1:58 PM,100308,13.677,Product
Anne,Female,7/16/1986,2:08 PM,69134,3.723,Engineering
Sarah,,11/21/1985,1:08 PM,58295,14.603,Engineering
Stephanie,Female,3/24/1983,11:15 AM,50141,13.218,Human Resources
Roy,Male,9/23/2004,1:31 PM,101941,3.45,Client Services
,Female,8/5/2009,8:14 AM,115145,14.063,Distribution
,Male,2/4/2005,1:01 PM,40451,16.044,Distribution
Irene,Female,3/3/1982,8:26 AM,56526,5.81,Finance
,Female,8/2/1992,8:35 PM,145316,18.517,Human Resources
Thomas,Male,4/6/2011,1:04 PM,103235,9.554,Human Resources
Frank,,11/20/2001,10:18 AM,58563,12.062,Marketing
Fred,Male,2/20/1980,2:25 AM,74129,18.225,Product
Nicholas,Male,4/12/1994,8:21 PM,74669,1.113,Product
Howard,Male,10/5/1982,7:22 AM,97490,5.46,Marketing
Debra,Female,2/22/1994,10:25 PM,104250,18.456,Business Development
Christine,Female,7/3/1989,4:01 AM,94345,11.996,Finance
Brenda,,5/29/1991,6:32 AM,82439,19.062,Sales
Betty,Female,6/28/2005,6:03 PM,51613,12.984,Distribution
Ruby,Female,11/8/2000,7:35 PM,105946,1.139,Business Development
Kevin,Male,7/12/1997,2:07 AM,46080,9.635,Business Development
Arthur,Male,1/1/2014,7:46 PM,134610,6.147,Human Resources
Carl,,2/7/2014,3:57 AM,125104,12.345,Client Services
Todd,Male,3/11/2009,3:43 AM,107281,1.612,Engineering
Brenda,Female,10/6/2005,9:33 PM,141521,4.337,Client Services
Judy,Female,9/16/1997,12:10 AM,65931,2.304,Human Resources
Todd,Male,2/2/1984,10:13 AM,69989,10.985,Finance
Lois,Female,11/9/2011,7:06 AM,147183,9.999,Client Services
Walter,,12/21/1999,10:33 PM,66757,18.099,Distribution
Jessica,Female,9/27/1985,1:35 PM,75145,6.388,Legal
Jeremy,Male,6/14/1988,6:20 PM,129460,13.657,
Tammy,Female,11/11/1984,10:30 AM,132839,17.463,Client Services
Anne,Female,3/7/2000,6:45 AM,44537,18.284,Client Services
Jesse,Male,10/25/1999,3:35 PM,118733,9.653,Marketing
Virginia,Female,10/20/1999,6:23 AM,46905,19.154,Distribution
Jesse,Male,3/2/1981,7:26 PM,79582,3.873,Legal
Jeremy,,11/10/1996,1:49 PM,55394,3.18,Sales
Daniel,Male,9/15/2007,10:16 PM,123811,7.664,Human Resources
Patrick,,8/30/2004,11:43 AM,137314,4.542,Marketing
Emily,Female,1/13/1988,6:42 AM,36711,19.028,Human Resources
